,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
32,Iluppūr,10.5135,78.6236,90.93,42,9,8.46,IN,1584511200
33,Humberto de Campos,-2.5983,-43.4611,76.37,92,99,3.22,BR,1584511200
34,Plettenberg Bay,-34.0527,23.3716,66.47,74,0,6.89,ZA,1584511200
35,Hilo,19.7297,-155.09,70.23,88,100,7.96,US,1584511200
36,Peniche,39.3558,-9.3811,58.37,78,0,18.19,PT,1584511200
37,Qaanaaq,77.484,-69.3632,-18.49,58,99,7.27,GL,1584511200
38,Olinda,-8.0089,-34.8553,82.36,82,100,4.05,BR,1584511200
39,New Norfolk,-42.7826,147.0587,65.34,67,100,6.44,AU,1584511200
40,Port Elizabeth,-33.918,25.5701,68.45,74,0,19.22,ZA,1584511200
41,Kiryat Gat,31.61,34.7642,51.15,84,92,23.96,IL,1584511200
42,Verkhnyaya Tula,54.8839,82.7762,30.99,92,100,19.55,RU,1584511200
43,Caucayá,-0.1934,-74.7819,73.67,99,97,3.6,CO,1584511200
44,Salamiyah,35.0113,37.0532,48.65,72,73,25.12,SY,1584511200
45,Clyde River,70.4692,-68.5914,-17.45,93,100,8.68,CA,1584511200
46,Viedma,-40.8135,-62.9967,60.35,85,17,11.18,AR,1584511200
47,Lagoa,39.05,-27.9833,62.15,84,10,15.12,PT,1584511200
48,Punta Arenas,-53.15,-70.9167,53.89,70,100,33.51,CL,1584511200
49,Upernavik,72.7868,-56.1549,-5.53,54,93,7.34,GL,1584511200
50,Jamestown,42.097,-79.2353,31.26,94,8,2.06,US,1584511200
51,Laas,46.6166,10.7002,35.4,78,2,1.66,IT,1584511200
52,Inuvik,68.3499,-133.7218,15.48,85,15,5.91,CA,1584511200
53,Dikson,73.5069,80.5464,-5.89,99,97,5.97,RU,1584511200
54,Narsaq,60.9167,-46.05,12.22,50,79,10.11,GL,1584511200
55,Caravelas,-17.7125,-39.2481,80.15,78,24,4.45,BR,1584511200
56,Trofors,65.5333,13.4063,34.25,96,100,10.0,NO,1584511200
57,Ilulissat,69.2167,-51.1,6.53,62,96,11.77,GL,1584511200
58,Agadez,19.75,10.25,70.43,7,0,6.2,NE,1584511200
59,Yenangyaung,20.4667,94.8833,94.37,19,0,3.62,MM,1584511200
60,Lebu,-37.6167,-73.65,51.17,97,4,4.45,CL,1584511200
61,Sojat,25.9167,73.6667,89.33,14,0,5.12,IN,1584511200
62,Mataura,-46.1927,168.8643,53.87,78,82,2.28,NZ,1584511200
63,Havre-St-Pierre,50.2334,-63.5986,33.17,86,100,17.02,CA,1584511200
64,Santarém,-2.4431,-54.7083,75.6,96,98,4.03,BR,1584511200
65,Ugento,39.9263,18.1574,52.79,79,8,17.07,IT,1584511200
66,Hermanus,-34.4187,19.2345,66.11,87,15,7.81,ZA,1584511200
67,Mount Isa,-20.7333,139.5,93.22,20,0,15.73,AU,1584511200
68,Puerto Ayora,-0.7393,-90.3518,78.67,80,19,6.38,EC,1584511200
69,Santa Maria,-29.6842,-53.8069,71.67,87,19,4.76,BR,1584511200
70,Petropavlovsk-Kamchatskiy,53.0452,158.6483,29.64,73,100,12.35,RU,1584511200
71,Cape Town,-33.9258,18.4232,65.93,86,25,7.65,ZA,1584511200
72,Orlik,52.5178,99.825,20.21,56,73,4.97,RU,1584511200
73,Bambous Virieux,-20.3428,57.7575,80.15,81,13,9.24,MU,1584511200
74,San Quintín,30.4833,-115.95,57.65,61,36,2.55,MX,1584511200
75,Ust'-Omchug,61.15,149.6333,7.79,83,100,5.75,RU,1584511200
76,Lons,43.3167,-0.4,47.57,92,3,5.46,FR,1584511200
77,Hamilton,39.1834,-84.5333,40.01,89,17,2.91,US,1584511200
78,Los Llanos de Aridane,28.6585,-17.9182,63.05,67,4,6.31,ES,1584511200
79,Atuona,-9.8,-139.0333,82.67,77,83,12.28,PF,1584511200
80,Kudahuvadhoo,2.6708,72.8944,84.83,76,5,14.65,MV,1584511200
81,Nanortalik,60.1432,-45.2371,22.37,56,46,4.9,GL,1584511200
82,Meridian,43.6121,-116.3915,44.33,79,56,5.26,US,1584511200
83,Toucheng,24.8592,121.8233,71.65,86,56,8.28,TW,1584511200
84,Sovetskiy,61.3614,63.5842,26.51,70,30,8.7,RU,1584511200
85,Copiapó,-27.3667,-70.3333,58.15,91,0,1.32,CL,1584511200
86,Manta,-0.95,-80.7333,79.52,80,98,2.24,EC,1584511200
87,Codrington,-38.2667,141.9667,65.39,69,100,8.05,AU,1584511200
88,Bengkulu,-3.8004,102.2655,83.39,83,98,5.79,ID,1584511200
89,Paracuru,-3.41,-39.0306,78.89,91,1,2.24,BR,1584511200
90,Isangel,-19.55,169.2667,77.45,80,98,19.98,VU,1584511200
91,Bethel,41.3712,-73.414,37.29,90,0,4.54,US,1584511200
92,Itapirapuã,-15.8233,-50.6133,69.71,95,0,1.9,BR,1584511200
93,Airai,-8.9266,125.4092,79.97,52,5,6.6,TL,1584511200
94,Tasiilaq,65.6145,-37.6368,11.14,72,85,4.76,GL,1584511200
95,Sinnamary,5.3833,-52.95,79.97,82,28,13.51,GF,1584511200
96,Ribeira Grande,38.5167,-28.7,58.37,91,48,12.19,PT,1584511200
97,Terekli-Mekteb,44.1671,45.8698,40.01,60,87,11.25,RU,1584511200
98,Souillac,-20.5167,57.5167,80.51,76,8,8.41,MU,1584511200
99,Faanui,-16.4833,-151.75,83.03,70,100,4.59,PF,1584511200
100,Tezu,27.9167,96.1667,83.39,25,0,4.92,IN,1584511200
101,Río Gallegos,-51.6226,-69.2181,54.95,55,47,9.35,AR,1584511200
102,Ibrā’,22.6906,58.5334,79.61,20,0,4.14,OM,1584511200
103,Bluff,-46.6,168.3333,56.8,73,81,6.35,NZ,1584511200
104,Tacoronte,28.4769,-16.4102,57.65,67,73,7.9,ES,1584511200
105,Marzuq,14.4,46.4667,81.05,39,86,5.5,YE,1584511200
106,Sasaguri,33.6167,130.5333,65.53,43,36,7.7,JP,1584511200
107,Bulalacao,12.3254,121.3435,80.87,72,28,16.64,PH,1584511200
108,Novobelokatay,55.7062,58.9549,29.21,90,99,11.03,RU,1584511200
109,Nikolskoye,59.7035,30.7861,38.35,89,100,11.36,RU,1584511200
110,Henties Bay,-22.116,14.2845,66.83,84,18,4.59,NA,1584511200
111,Popondetta,-8.7537,148.2534,81.77,70,2,5.32,PG,1584511200
112,Talcahuano,-36.7167,-73.1167,59.77,83,0,5.1,CL,1584511200
113,Harper,4.375,-7.7169,76.01,96,100,3.33,LR,1584511200
114,East London,-33.0153,27.9116,74.39,71,0,8.28,ZA,1584511200
115,Sandanski,41.5667,23.2833,41.09,62,0,2.06,BG,1584511200
116,Gimli,50.6336,-96.9907,13.6,94,100,8.86,CA,1584511200
117,Kulhudhuffushi,6.6221,73.07,84.29,77,99,18.1,MV,1584511200
118,South Lake Tahoe,38.9332,-119.9844,29.34,81,100,9.55,US,1584511200
119,Vardø,70.3705,31.1107,29.39,93,100,3.2,NO,1584511200
120,Mubende,0.5606,31.39,65.39,97,100,3.2,UG,1584511200
121,Cayenne,4.9333,-52.3333,76.73,91,61,4.85,GF,1584511200
122,Vao,-22.6667,167.4833,76.91,73,29,18.72,NC,1584511200
123,Katsuura,35.1333,140.3,59.99,53,0,17.05,JP,1584511200
124,Saint Paul Harbor,57.79,-152.4072,39.69,84,60,20.83,US,1584511200
125,Arraial do Cabo,-22.9661,-42.0278,77.45,87,3,10.74,BR,1584511200
126,Aksarka,66.5606,67.7975,20.39,83,81,19.15,RU,1584511200
127,Kvasice,49.2422,17.4697,43.25,90,0,0.16,CZ,1584511200
128,Inhambane,-23.865,35.3833,76.37,60,16,11.74,MZ,1584511200
129,Waddān,29.1614,16.139,59.45,49,100,15.03,LY,1584511200
130,Bredasdorp,-34.5322,20.0403,68.14,84,0,6.24,ZA,1584511200
131,Road Town,18.4167,-64.6167,77.99,75,40,14.0,VG,1584511200
132,Evensk,61.95,159.2333,9.95,85,100,4.56,RU,1584511200
133,Ostrovnoy,68.0531,39.5131,23.81,93,93,11.99,RU,1584511200
134,San Juan Bautista,-14.0108,-75.7358,71.11,80,97,0.92,PE,1584511200
135,Memaliaj,40.3517,19.9803,43.07,77,0,1.83,AL,1584511200
136,Hong Kong,22.2855,114.1577,72.95,74,99,8.16,HK,1584511200
137,Cidreira,-30.1811,-50.2056,73.49,86,93,22.93,BR,1584511200
138,Arrondissement de Lons-le-Saunier,46.75,5.75,42.3,89,0,2.62,FR,1584511200
139,Constantine,36.365,6.6147,51.71,80,94,2.24,DZ,1584511200
140,Kargasok,59.0556,80.8572,30.29,89,99,20.51,RU,1584511200
141,Sena Madureira,-9.0656,-68.6569,70.25,99,97,1.77,BR,1584511200
142,Kahului,20.8947,-156.47,72.77,86,100,16.15,US,1584511200
143,Adrar,20.5022,-10.0711,61.61,31,21,9.51,MR,1584511200
144,Leningradskiy,69.3833,178.4167,26.51,76,100,8.68,RU,1584511200
145,Meulaboh,4.1363,96.1285,84.29,71,58,4.74,ID,1584511200
146,Chernyshevskiy,63.0128,112.4714,3.47,91,85,5.12,RU,1584511200
147,Fairbanks,64.8378,-147.7164,27.66,94,100,2.33,US,1584511200
148,Ola,59.5833,151.2833,13.37,82,31,3.04,RU,1584511200
149,Pevek,69.7008,170.3133,13.55,93,100,13.67,RU,1584511200
150,Saint-Philippe,-21.3585,55.7679,79.25,82,15,18.88,RE,1584511200
151,Honningsvåg,70.9821,25.9704,30.47,86,100,13.33,NO,1584511200
152,Rincon,32.296,-81.2354,64.49,95,59,0.98,US,1584511200
153,Merano,46.6682,11.1595,39.58,70,0,4.25,IT,1584511200
154,Chake Chake,-5.2459,39.7666,83.03,74,100,0.34,TZ,1584511200
155,Chimbote,-9.0853,-78.5783,74.75,70,78,3.58,PE,1584511200
156,Nguruka,-5.1092,31.0419,64.85,97,100,2.51,TZ,1584511200
157,Bathsheba,13.2167,-59.5167,77.45,74,21,14.23,BB,1584511200
158,Altay,47.8667,88.1167,34.79,94,77,1.97,CN,1584511200
159,Talara,-4.5772,-81.2719,77.09,87,93,4.99,PE,1584511200
160,San Patricio,19.2167,-104.7,75.47,81,0,4.09,MX,1584511200
161,Mossamedes,-15.1961,12.1522,74.21,79,100,6.26,AO,1584511200
162,Kalmunai,7.4167,81.8167,81.95,77,91,9.51,LK,1584511200
163,Nouakchott,18.0858,-15.9785,68.22,50,30,13.42,MR,1584511200
164,Guerrero Negro,27.9769,-114.0611,61.61,69,18,9.89,MX,1584511200
165,Chui,-33.6971,-53.4616,67.91,83,100,14.5,UY,1584511200
166,Shūshtar,32.0455,48.8567,67.55,62,100,11.07,IR,1584511200
167,Te Anau,-45.4167,167.7167,52.43,70,83,11.43,NZ,1584511200
168,Kapaa,22.0752,-159.319,71.96,99,100,6.24,US,1584511200
169,Ladário,-19.0047,-57.6017,75.65,85,35,2.17,BR,1584511200
170,Iqaluit,63.7506,-68.5145,15.01,93,100,14.29,CA,1584511200
171,Chalmette,29.9427,-89.9634,69.53,83,73,6.96,US,1584511200
172,San Policarpo,12.1791,125.5072,82.13,67,82,6.8,PH,1584511200
173,Makakilo City,21.3469,-158.0858,70.29,97,100,5.75,US,1584511200
174,Havelock,34.8791,-76.9013,55.35,98,64,3.65,US,1584511200
175,Sarangani,5.4033,125.4636,81.59,77,66,23.91,PH,1584511200
176,Dzilam González,21.2833,-88.9333,76.19,79,38,17.94,MX,1584511200
177,Hirara,24.8,125.2833,74.21,70,79,16.13,JP,1584511200
178,Santa Fe,-31.6333,-60.7,68.27,96,86,2.21,AR,1584511200
179,Daru,-9.0763,143.2092,85.19,64,14,8.12,PG,1584511200
180,George Town,5.4112,100.3354,93.11,45,26,2.37,MY,1584511200
181,Chokurdakh,70.6333,147.9167,-17.77,92,87,11.05,RU,1584511200
182,Port Hardy,50.6996,-127.4199,41.2,92,0,1.12,CA,1584511200
183,Tuatapere,-46.1333,167.6833,54.05,68,100,2.55,NZ,1584511200
184,Maputo,-25.9653,32.5892,75.27,59,91,4.07,MZ,1584511200
185,Poconé,-16.2567,-56.6228,75.47,91,100,2.39,BR,1584511200
186,Saldanha,-33.0117,17.9442,62.69,92,16,6.02,ZA,1584511200
187,Itaueira,-7.6033,-43.0256,72.23,95,69,1.97,BR,1584511200
188,Hutchinson,38.0608,-97.9298,52.43,95,100,12.8,US,1584511200
189,Geraldton,-28.7667,114.6,74.19,60,100,14.05,AU,1584511200
190,Coahuayana Viejo,18.7333,-103.6833,71.56,78,0,4.47,MX,1584511200
191,Kaeo,-35.1,173.7833,68.07,57,0,4.38,NZ,1584511200
192,Thinadhoo,0.5333,72.9333,85.01,75,16,11.56,MV,1584511200
193,Waipawa,-41.4122,175.5153,56.91,67,3,6.89,NZ,1584511200
194,Touros,-5.1989,-35.4608,82.67,76,100,13.0,BR,1584511200
195,Leshukonskoye,64.8989,45.7622,28.13,94,100,9.08,RU,1584511200
196,Broome,42.2506,-75.833,29.86,92,57,4.54,US,1584511200
197,Marfino,55.7028,37.3822,37.49,82,77,13.31,RU,1584511200
198,Vanavara,60.34,102.2797,19.13,80,99,12.93,RU,1584511200
199,São Filipe,14.8961,-24.4956,67.01,75,1,12.71,CV,1584511200
200,Bat Khela,34.6167,71.9714,72.95,38,0,2.53,PK,1584511200
201,Bagdarin,54.4333,113.6,24.53,63,52,13.8,RU,1584511200
202,Lucapa,-8.4192,20.7447,66.29,97,100,2.89,AO,1584511200
203,Port Alfred,-33.5906,26.891,69.71,78,0,9.35,ZA,1584511200
204,Miahuatlán,18.5667,-97.4333,60.48,90,3,3.53,MX,1584511200
205,Fortuna,40.5982,-124.1573,43.23,96,96,5.64,US,1584511200
206,Alofi,-19.0595,-169.9187,85.3,77,100,15.17,NU,1584511200
207,Longyearbyen,78.2186,15.6401,-20.7,85,12,4.65,SJ,1584511200
208,Pangnirtung,66.1451,-65.7125,2.39,75,100,16.8,CA,1584511200
209,Necochea,-38.5473,-58.7368,62.13,84,95,2.51,AR,1584511200
210,Gladstone,-23.85,151.25,80.87,65,9,19.6,AU,1584511200
211,Hithadhoo,-0.6,73.0833,85.19,73,71,10.6,MV,1584511200
212,Oussouye,12.485,-16.5469,69.67,82,0,6.73,SN,1584511200
213,Carnarvon,-24.8667,113.6333,79.97,73,100,22.88,AU,1584511200
214,Birjand,32.8663,59.2211,64.36,34,2,5.26,IR,1584511200
215,Zhigansk,66.7697,123.3711,-17.41,88,19,4.47,RU,1584511200
216,Dano,11.15,-3.0667,77.27,64,11,1.83,BF,1584511200
217,Morros,-9.4467,-46.3003,72.77,81,18,2.15,BR,1584511200
218,High Rock,26.6208,-78.2833,72.77,76,100,12.12,BS,1584511200
219,Sioux Lookout,50.1001,-91.917,15.84,92,99,3.53,CA,1584511200
220,Mergen,49.1833,125.2167,32.27,100,64,3.06,CN,1584511200
221,Barra do Garças,-15.89,-52.2567,69.35,95,17,0.92,BR,1584511200
222,Dawei,14.0833,98.2,82.85,65,33,9.22,MM,1584511200
223,Yarmouth,41.7057,-70.2286,41.27,73,0,21.12,US,1584511200
224,Mehamn,71.0357,27.8492,25.43,93,100,4.05,NO,1584511200
225,Gondanglegi,-7.7479,112.0132,84.11,80,43,5.66,ID,1584511200
226,Guamal,9.1433,-74.2238,77.63,62,76,2.17,CO,1584511200
227,Santa Cruz de Barahona,18.2085,-71.1008,77.45,72,0,8.48,DO,1584511200
228,Mazyr,52.0495,29.2456,37.49,84,30,6.64,BY,1584511200
229,Orange Cove,36.6244,-119.3137,45.54,81,98,2.55,US,1584511200
230,Naze,28.3667,129.4833,64.99,49,100,2.51,JP,1584511200
231,Qurayyat,31.3318,37.3428,49.91,58,38,22.91,SA,1584511200
232,Tura,25.5198,90.2201,88.43,22,0,7.36,IN,1584511200
233,Kavaratti,10.5669,72.642,84.49,68,62,4.7,IN,1584511200
234,Nuuk,64.1835,-51.7216,21.96,69,100,16.64,GL,1584511200
235,Vila Velha,-20.3297,-40.2925,76.98,96,100,2.59,BR,1584511200
236,Blagoyevo,63.3667,47.9167,28.31,94,100,12.48,RU,1584511200
237,Margate,51.3813,1.3862,47.39,87,30,20.07,GB,1584511200
238,Noumea,-22.2763,166.4572,82.92,76,1,22.01,NC,1584511200
239,Diu,20.7141,70.9822,79.43,58,55,5.21,IN,1584511200
240,Kaitangata,-46.2817,169.8464,54.05,77,64,6.73,NZ,1584511200
241,Palic,46.1023,19.7635,45.41,65,14,2.15,RS,1584511200
242,Mananara,-16.1667,49.7667,79.25,81,48,5.37,MG,1584511200
243,Garoowe,8.4054,48.4845,78.17,57,100,10.25,SO,1584511200
244,Kyenjojo,0.6328,30.6214,63.77,97,98,1.5,UG,1584511200
245,Yar-Sale,66.8333,70.8333,16.25,84,0,17.47,RU,1584511200
246,Acaraú,-2.8856,-40.12,74.03,96,37,3.04,BR,1584511200
247,Sur,22.5667,59.5289,78.35,31,0,5.93,OM,1584511200
248,Ayan,56.45,138.1667,20.75,91,93,3.69,RU,1584511200
249,Padang,-0.9492,100.3543,80.15,77,97,2.8,ID,1584511200
250,Sunnyside,46.3237,-120.0087,42.33,77,100,2.98,US,1584511200
251,Dundee,56.5,-2.9667,36.28,86,77,8.01,GB,1584511200
252,Grindavik,63.8424,-22.4338,31.19,89,57,23.15,IS,1584511200
253,Kenai,60.5544,-151.2583,29.21,95,100,2.84,US,1584511200
254,Boralday,43.3578,76.8594,60.89,56,100,2.17,KZ,1584511200
255,Ahipara,-35.1667,173.1667,63.23,70,0,16.98,NZ,1584511200
256,Bjørnevatn,69.6672,29.9847,29.01,95,99,7.7,NO,1584511200
257,Maniitsoq,65.4167,-52.9,18.23,65,100,23.71,GL,1584511200
258,Dudinka,69.4058,86.1778,17.33,94,100,15.64,RU,1584511200
259,Esna,25.2934,32.554,61.0,53,0,15.48,EG,1584511200
260,Cavalcante,-13.7975,-47.4583,66.29,89,95,1.52,BR,1584511200
261,Alta Floresta,-9.8756,-56.0861,72.05,95,100,1.14,BR,1584511200
262,Ayacucho,-13.1583,-74.2239,45.05,89,99,2.01,PE,1584511200
263,Camacha,33.0833,-16.3333,60.71,69,83,22.03,PT,1584511200
264,Manoel Urbano,-8.8389,-69.2597,69.71,99,98,2.28,BR,1584511200
265,Klyuchi,52.2667,79.1667,29.39,86,3,16.84,RU,1584511200
266,Lavrentiya,65.5833,-171.0,22.73,89,46,11.9,RU,1584511200
267,Nome,64.5011,-165.4064,27.59,88,100,16.49,US,1584511200
268,Santa Cruz de La Palma,28.6835,-17.7642,63.05,67,4,6.31,ES,1584511200
269,Quelimane,-17.8786,36.8883,76.93,91,43,2.66,MZ,1584511200
270,Whitehorse,60.7161,-135.0538,23.32,89,92,3.94,CA,1584511200
271,Ternate,0.8,127.4,83.03,73,22,4.92,ID,1584511200
272,Nishihara,26.1842,127.7558,70.03,66,99,15.08,JP,1584511200
273,Kavieng,-2.5744,150.7967,79.61,81,100,10.56,PG,1584511200
274,Porto Torres,40.835,8.3972,55.31,74,11,5.55,IT,1584511200
275,Manaquiri,-3.3167,-60.35,78.06,93,98,1.48,BR,1584511200
276,Novy Urengoy,66.0833,76.6333,14.09,86,45,17.22,RU,1584511200
277,Samarai,-10.6167,150.6667,80.15,83,62,6.24,PG,1584511200
278,San Andrés,12.5847,-81.7006,80.2,75,14,17.83,CO,1584511200
279,Jackson,42.4165,-122.8345,43.43,88,94,3.11,US,1584511200
280,Comodoro Rivadavia,-45.8667,-67.5,65.39,56,0,15.41,AR,1584511200
281,Disna,55.568,28.1971,38.75,84,59,13.87,BY,1584511200
282,Aleksandrov Gay,50.147,48.5704,40.37,45,38,4.29,RU,1584511200
283,Wagga Wagga,-35.1167,147.3667,81.9,24,17,6.96,AU,1584511200
284,Suicheng,33.8963,117.9331,74.57,34,0,16.06,CN,1584511200
285,Tiksi,71.6872,128.8694,-28.21,88,0,7.83,RU,1584511200
286,Winneba,5.3511,-0.6231,80.76,89,100,6.46,GH,1584511200
287,Kokopo,-4.352,152.2633,83.21,79,86,14.97,PG,1584511200
288,Esperance,-33.8667,121.9,70.3,56,0,19.55,AU,1584511200
289,Ballina,-28.8667,153.5667,74.14,61,39,11.61,AU,1584511200
290,Bharatpur,27.2167,77.4833,85.19,20,0,6.35,IN,1584511200
291,Balikpapan,-1.2675,116.8289,87.42,78,27,19.24,ID,1584511200
292,Ancud,-41.8697,-73.8203,49.73,89,0,2.64,CL,1584511200
293,Baoqing,46.3317,132.2111,37.13,82,90,4.92,CN,1584511200
294,Jacareacanga,-6.2222,-57.7528,72.77,97,76,0.76,BR,1584511200
295,La Ronge,55.1001,-105.2842,-2.47,96,100,2.48,CA,1584511200
296,Ondarroa,43.3167,-2.4167,54.59,80,0,5.12,ES,1584511200
297,Pineville,31.3224,-92.4343,66.81,97,88,4.99,US,1584511200
298,Kyra,49.5776,111.9753,29.03,36,0,27.83,RU,1584511200
299,San Cristobal,7.7669,-72.225,76.21,91,99,0.47,VE,1584511200
300,Klaipėda,55.7172,21.1175,42.94,88,97,20.24,LT,1584511200
301,Kysyl-Syr,63.8986,122.7617,-4.81,90,0,5.08,RU,1584511200
302,Cherskiy,68.75,161.3,0.77,95,100,8.1,RU,1584511200
303,Utiel,39.5667,-1.2,48.9,94,93,10.0,ES,1584511200
304,Port Blair,11.6667,92.75,83.57,62,61,10.02,IN,1584511200
305,Berlevåg,70.8578,29.0864,31.01,86,100,11.01,NO,1584511200
306,China,25.7,-99.2333,72.41,75,0,22.62,MX,1584511200
307,Erzin,36.9559,36.2,45.43,79,100,6.2,TR,1584511200
308,Santa Isabel Rio Negro,-0.4139,-65.0192,73.49,99,100,1.63,BR,1584511200
309,Alice Springs,-23.7,133.8833,95.04,18,0,7.81,AU,1584511200
310,Tarauacá,-8.1614,-70.7656,70.07,96,100,3.4,BR,1584511200
311,Khasan,42.4308,130.6434,45.05,60,60,12.28,RU,1584511200
312,Mar del Plata,-38.0023,-57.5575,65.93,77,100,4.32,AR,1584511200
313,Aripuanã,-9.1667,-60.6333,72.59,99,83,1.3,BR,1584511200
314,Mayo,38.8876,-76.5119,46.83,71,34,9.71,US,1584511200
315,Pokhara,28.2333,83.9833,82.31,28,0,3.56,NP,1584511200
316,Provideniya,64.3833,-173.3,30.04,98,99,9.26,RU,1584511200
317,Sabang,5.8933,95.3214,83.21,73,82,12.91,ID,1584511200
318,Fare,-16.7,-151.0167,83.75,68,100,5.17,PF,1584511200
319,Kruisfontein,-34.0033,24.7314,65.57,72,0,12.64,ZA,1584511200
320,Constitución,-35.3333,-72.4167,54.23,80,0,3.2,CL,1584511200
321,Seddon,-37.8068,144.8916,81.95,46,100,11.1,AU,1584511200
322,Cockburn Town,21.4612,-71.1419,75.11,75,26,19.3,TC,1584511200
323,Pauini,-7.7136,-66.9764,71.33,97,87,2.26,BR,1584511200
324,Mount Gambier,-37.8333,140.7667,82.35,47,100,3.11,AU,1584511200
325,Chapais,49.7834,-74.8492,2.62,93,86,6.24,CA,1584511200
326,Heilbron,-27.2812,27.9709,60.71,78,46,5.37,ZA,1584511200
327,Half Moon Bay,37.4636,-122.4286,47.21,75,96,3.38,US,1584511200
328,Maumere,-8.6199,122.2111,83.75,65,53,7.58,ID,1584511200
329,Murray Bridge,-35.1167,139.2667,91.85,17,60,8.37,AU,1584511200
330,Hollola,61.05,25.4333,38.26,90,99,9.15,FI,1584511200
331,Babayurt,43.6002,46.7789,41.81,70,83,9.42,RU,1584511200
332,Sola,-13.8833,167.55,84.47,70,83,7.25,VU,1584511200
333,Kalabo,-14.97,22.6814,67.73,91,100,6.87,ZM,1584511200
334,Ende,-8.8432,121.6623,85.37,68,60,11.21,ID,1584511200
335,Khilok,51.3674,110.4676,25.97,68,83,12.44,RU,1584511200
336,Mwanza,-2.5167,32.9,69.49,85,100,5.79,TZ,1584511200
337,Kipini,-2.5257,40.5262,86.09,66,100,9.53,KE,1584511200
338,Salekhard,66.53,66.6019,21.65,85,86,15.7,RU,1584511200
339,Sītāmau,24.0167,75.35,88.61,14,22,10.4,IN,1584511200
340,Lukovetskiy,64.2956,41.9211,33.93,97,100,9.06,RU,1584511200
341,Oranjemund,-28.55,16.4333,60.17,90,9,5.91,NA,1584511200
342,Olafsvik,64.8945,-23.7142,25.79,82,100,28.03,IS,1584511200
343,Yangi Marg`ilon,40.4272,71.7189,69.17,35,58,6.58,UZ,1584511200
344,Izberbash,42.5696,47.8645,39.29,68,83,2.57,RU,1584511200
345,Province of Mantua,45.1667,10.7833,45.77,76,0,0.65,IT,1584511200
346,Dongsheng,39.8161,109.9776,45.77,19,50,35.59,CN,1584511200
347,Luwuk,-0.9516,122.7875,85.19,72,43,13.35,ID,1584511200
348,Adana Province,36.985,35.2881,47.01,78,100,5.14,TR,1584511200
349,Cabo San Lucas,22.8909,-109.9124,69.73,64,93,4.61,MX,1584511200
350,Egvekinot,66.3167,-179.1667,11.75,98,91,8.21,RU,1584511200
351,Ambon City,-3.6954,128.1814,88.02,69,70,3.0,ID,1584511200
352,Kamen'-Rybolov,44.7481,132.0403,38.93,84,48,11.79,RU,1584511200
353,Piaçabuçu,-10.4056,-36.4344,77.45,87,99,5.01,BR,1584511200
354,San Matías,-16.3667,-58.4,75.83,86,75,4.99,BO,1584511200
355,Poso,-1.3959,120.7524,74.93,78,21,2.35,ID,1584511200
